fips,state,county,# deaths,physically unhealthy days,mentally unhealthy days,% obese,food environment index,% physically inactive,teen birth rate,# some college,population,% unemployed,income ratio,% single-parent households,# violent crimes,year,deaths,average number of physically unhealthy days,average number of mentally unhealthy days,% adults with obesity
01001,Alabama,Autauga,754,5.1,3.6,31.3,7.2,27.9,36.499862524,8145,14535,5.6874828276,4.1715137957,29.629370139,138.66666667,2015,NA,NA,NA,NA
01003,Alabama,Baldwin,2460,3.3,3.8,25,7.6,25.2,44.532661526,28277,45251,5.8395466746,4.4171482752,29.242727594,406.66666667,2015,NA,NA,NA,NA
01005,Alabama,Barbour,414,4.8,4.3,38.4,5,32.3,72.873799726,3156,7456,10.041503343,5.4739856417,55.824663142,39.333333333,2015,NA,NA,NA,NA
01007,Alabama,Bibb,407,4.7,5.1,37.3,7.6,33.2,50.850850851,3053,6106,6.8497757848,4.5137856924,37.176423736,54,2015,NA,NA,NA,NA
01009,Alabama,Blount,861,5.9,3.9,30.9,8.5,29.8,47.239216294,7113,14459,5.6070842399,3.9837506136,27.62988407,126.5,2015,NA,NA,NA,NA
01011,Alabama,Bullock,180,4.2,NA,43.2,3.8,32.8,84.596967279,1147,3211,11.990820425,5.2633408919,62.407968818,31,2015,NA,NA,NA,NA
01013,Alabama,Butler,375,3.9,3.5,38.4,6,37.3,63.341425734,2141,4826,9.3146663656,5.1004804169,51.209016393,101,2015,NA,NA,NA,NA
01015,Alabama,Calhoun,2081,5.2,5.1,31.5,6.4,33.2,49.328449328,14999,29228,7.2664015905,5.1644956471,39.598332702,598.66666667,2015,NA,NA,NA,NA
01017,Alabama,Chambers,686,5,4.3,39.7,5.7,35.3,59.728046766,3888,8158,7.2611723345,5.2797452625,54.760306164,161.33333333,2015,NA,NA,NA,NA
01019,Alabama,Cherokee,512,6.1,5.2,30.3,7.9,29.8,51.558517938,3074,5748,5.7207442184,5.0950101146,31.472661459,97.666666667,2015,NA,NA,NA,NA
01021,Alabama,Chilton,767,4.6,4.9,37,7.9,31.8,58.314675351,4561,11724,5.8375634518,4.5383442266,31.489957964,178.66666667,2015,NA,NA,NA,NA
01023,Alabama,Choctaw,253,5.6,4.6,40.2,5.9,34.8,42.292368986,1437,2945,7.8447395301,5.7307661771,42.694750919,15,2015,NA,NA,NA,NA
01025,Alabama,Clarke,425,4.4,3,35.2,5.1,31,41.890909091,2561,5953,10.805919302,7.1812352013,52.452891488,119,2015,NA,NA,NA,NA
01027,Alabama,Clay,259,6,5.3,37.4,7.3,37.6,52.881570614,1534,3278,8.1761006289,5.0565494984,37.244561635,43.666666667,2015,NA,NA,NA,NA
01029,Alabama,Cleburne,282,5.9,5.2,30.4,8.1,34.1,57.388809182,1738,3578,6.2200191877,5.2405267401,30.213004484,33.5,2015,NA,NA,NA,NA
01031,Alabama,Coffee,670,3.5,3.6,28.5,7.1,29.7,44.688836519,8184,13612,6.1962802894,5.2805722461,39.422281079,183,2015,NA,NA,NA,NA
01033,Alabama,Colbert,949,4.4,4.8,33.9,7.2,31.9,52.288659794,7280,12915,6.8087529488,4.7650332728,34.672393465,203.66666667,2015,NA,NA,NA,NA
01035,Alabama,Conecuh,290,4.4,5.2,39.1,4.6,35.4,54.87804878,1075,2686,10.261660978,5.7153635117,46.921797005,78.666666667,2015,NA,NA,NA,NA
01037,Alabama,Coosa,239,4,4.6,37.2,6.8,31.9,49.237472767,817,2596,8.0969807868,5.0046596287,43.452650657,27,2015,NA,NA,NA,NA
01039,Alabama,Covington,647,4.2,5.2,32.3,7.3,37.5,68.579766537,4452,8609,7.1522268724,4.5561302682000004,38.98830828,92,2015,NA,NA,NA,NA
01041,Alabama,Crenshaw,214,4,3.8,37.1,5.9,32.3,53.571428571,1435,3326,6.3425925926,5.6590763538,42.585201105,55.666666667,2015,NA,NA,NA,NA
01043,Alabama,Cullman,1293,3.9,4.4,34.4,7.8,30.8,56.054557552,10947,19639,5.4627062706,4.8325755714,30.030721966,162.33333333,2015,NA,NA,NA,NA
01045,Alabama,Dale,724,4.9,3.9,34.4,6.4,30.5,48.430579626,8283,13393,7.0578365057,5.0521367521,33.918128655,198.33333333,2015,NA,NA,NA,NA
01047,Alabama,Dallas,856,3.9,3.6,41.7,3.6,33.2,71.677740864,4343,9796,12.673450509,6.5374860505,68.940349613,342.33333333,2015,NA,NA,NA,NA
01049,Alabama,DeKalb,1091,4.7,4.9,32.1,7.8,29.4,59.108527132,7211,18068,7.0260731778,4.3850811486,28.844014241,173,2015,NA,NA,NA,NA
01051,Alabama,Elmore,1059,4.4,4.4,30.1,7.4,30.5,42.065211647,12234,21901,5.9681093394,4.0432118802,29.543746645,142.66666667,2015,NA,NA,NA,NA
01053,Alabama,Escambia,710,5.2,4.7,38.3,6.1,37.4,68.429598701,4454,9958,8.033043726,5.4753778645,49.172301236,216.66666667,2015,NA,NA,NA,NA
01055,Alabama,Etowah,1966,5.2,5,33.8,6.8,32.2,53.748053369,13861,25925,6.5123560327,4.6701589815,38.495046122,509.33333333,2015,NA,NA,NA,NA
01057,Alabama,Fayette,355,5.6,5.2,36.3,7.6,30.6,51.849921834,1403,3712,7.3262958878,5.1972249017,38.332883733,29.333333333,2015,NA,NA,NA,NA
